[表題行],部門,勘定科目,補助科目,日付,伝票No.,作業日付,仕訳番号,決算,調整,付箋１,付箋２,タイプ,生成元,部門,税区分,税計算区分,相手勘定科目,相手補助科目,相手部門,相手税区分,相手税計算区分,借方金額,借方税額,貸方金額,貸方税額,金額,残高,摘要,請求書区分,仕入税額控除,期日,番号,仕訳メモ
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870061,,NO,,,[振伝],,,,,支払手数料,国内振込･引出手数料,,課対仕入10%,内税,,,0,,0,93610071,振込手数料(RES負担)　,適格,100%,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870062,,NO,,,[振伝],,,,,諸口,,,,,,,83735,,-83735,93526336,ｽﾄｯｸｼﾞｬｰﾅﾙ㈱　合計,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870064,,NO,,,[振伝],,,,,諸口,,,,,,,440,,-440,93525896,振込手数料(先方負担),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870065,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,93525896,二階堂直樹　合計,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870068,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,93525896,振込手数料(先方負担),,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870069,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,93525896,㈱rewrite　合計,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870073,,NO,,,[振伝],,,,,諸口,,,,,,,0,,0,93525896,振込手数料,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870074,,NO,,,[振伝],,,,,諸口,,,,,,,2438,,-2438,93523458,㈱JUNG 業務提携費 10月,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,6,令和6年12月9日,870076,,NO,,,[振伝],,,,,諸口,,,,,,,275,,-275,93523183,振込手数料,,,,,
[明細行],,きらぼし/経理(0685540),,2024/12/25,7,令和6年12月10日,870506,,NO,,,[振伝],,,,,諸口,,,,,,,41305492,,-41305492,52217691,8 BOX PTE. LTD.　業務提携費　9月,,,,,
